time_s,fusion_absolute_error_cm,model1_fixed_absolute_error_cm,model2_fixed_absolute_error_cm
0.05,8.708959829987236,5.24501528568193,2.3041258536080416
0.15000000000000002,8.740589372271325,5.410696339264804,2.6438737327792348
0.25000000000000006,8.742526046781162,5.634843590584125,3.0718783238469527
0.35000000000000003,8.679632330378347,5.92654479906319,3.555021155779853
0.45000000000000007,8.512020207510053,6.290406951894107,4.06270883376643
0.5500000000000002,8.215185659788862,6.710575813318132,4.579394050556269
0.6500000000000001,7.798226830187575,7.14508407271723,5.110151878703532
0.7500000000000002,7.299603843330342,7.535548963854764,5.681146396266518
0.8500000000000002,6.758368532806389,7.825138426079132,6.327447536026544
0.9500000000000002,6.198372070189254,7.970725009221374,7.0684962096082815
1.0500000000000003,5.637601127035152,7.946605141852328,7.887666408196275
1.1500000000000004,5.10499786167464,7.74354111077183,8.728056957089256
1.2500000000000002,4.641348528461138,7.369985073222382,9.503725570305575
1.3500000000000003,4.291841225751672,6.848759942610872,10.110469474329749
1.4500000000000004,4.098310649728191,6.207511388903252,10.443135005308092
1.5500000000000003,4.087052706740995,5.472548611701304,10.423849788471774
1.6500000000000004,4.250152920845114,4.673349477812054,10.036369835058345
1.7500000000000004,4.540629343141469,3.859374752570148,9.347630977097982
1.8500000000000003,4.889502006228871,3.108366362060582,8.496497184963022
1.9500000000000004,5.2365318913782835,2.5135984116537506,7.650274756948946
2.0500000000000003,5.549580326690335,2.153891390329792,6.948972016604591
2.1500000000000004,5.824906704144676,2.060496493034818,6.468719673455726
2.2500000000000004,6.0662008036062485,2.20218356833425,6.22294095197651
2.35,6.265346425416528,2.4979005495761015,6.186555264313036
2.45,6.396528608617901,2.851461947755099,6.320900685005165
2.5500000000000003,6.42860633195005,3.183718085597079,6.583616539324581
2.6500000000000004,6.343055374346136,3.450568597849656,6.934286615312516
2.7500000000000004,6.142380290970547,3.6378876083957064,7.3388002919233415
2.8500000000000005,5.844350568757921,3.746441734921543,7.772831966147996
2.95,5.472030404253202,3.7754979158315587,8.218984176715873
3.0500000000000003,5.052505442016089,3.715677993731034,8.66521525190383
3.1500000000000004,4.620711484098336,3.5540303926986128,9.107798648768652
3.2500000000000004,4.229076067058071,3.284907231778055,9.553670922551094
3.3500000000000005,3.947436715173242,2.9218089708975574,10.009971619218618
3.4500000000000006,3.8487195367543627,2.5021618645032597,10.469188083349247
3.5500000000000007,3.9808330695429284,2.0832504632948416,10.905185762329447
3.6500000000000004,4.334919613378436,1.731629618168175,11.287239919944458
3.7500000000000004,4.839005375955119,1.511397273808778,11.593635939002331
3.8500000000000005,5.385679637319251,1.4730100079313213,11.811082924664479
3.9500000000000006,5.868354861314038,1.6383829026887988,11.92588539591351
4.050000000000001,6.1980626569152575,1.989049046525215,11.923788311846405
4.15,6.309797140572778,2.4681644858177383,11.798058542694426
4.250000000000001,6.170714759348174,3.003837315723762,11.552529776490282
4.3500000000000005,5.790405241712221,3.5328046838530582,11.195513816468216
4.450000000000001,5.2176895699156205,4.011288405216987,10.733525095145568
4.550000000000001,4.520053343141751,4.414825856511894,10.175637082228715
4.65,3.7707609015567933,4.73455932422948,9.540252753526755
4.750000000000001,3.0469859058433038,4.973611800039401,8.853561250142702
4.8500000000000005,2.43091796839151,5.1356332119583845,8.141599290674689
4.950000000000001,1.9978157960301481,5.210169011503351,7.428703859059592
5.050000000000001,1.7947380469847254,5.167209402594281,6.744362759156646
5.150000000000001,1.8244957695649062,4.971110433429883,6.12538329658501
5.250000000000001,2.0457514093241587,4.605274545813062,5.608014482564016
5.3500000000000005,2.3892304312519923,4.087831498648645,5.215737208287149
5.450000000000001,2.7823490058379936,3.4696233460833477,4.9567962507334995
5.550000000000001,3.170044946055073,2.824062585057839,4.829428928971499
5.650000000000001,3.520889865801958,2.242692493146326,4.827641264939379
5.750000000000001,3.821196498972338,1.8251222300072654,4.940868747143517
5.8500000000000005,4.064414065923836,1.6531441035973615,5.152033540959509
5.950000000000001,4.244200005817226,1.75911244899408,5.440786178630368
6.050000000000001,4.353067931811382,2.1132673026768845,5.791301033616456
6.150000000000001,4.384008775656576,2.6401807238786983,6.194637720258328
6.250000000000001,4.3378254445700755,3.2501147281009364,6.641882349925018
6.350000000000001,4.233382996514654,3.868066184923423,7.11940805685244
6.450000000000001,4.109928587985888,4.446992673369254,7.614881483066223
6.550000000000001,4.01018380447461,4.962633078008845,8.122624163235868
6.650000000000001,3.9592709156354817,5.395198113964536,8.637297572801792
6.750000000000001,3.963254763071154,5.720335635620547,9.142436743497042
6.850000000000001,4.032614956721375,5.918769128285461,9.610986716598356
