time_s,pid_absolute_error_cm,pid_signed_error_cm,smc_absolute_error_cm,smc_signed_error_cm,fusion_absolute_error_cm,fusion_signed_error_cm
0.05,3.49873509425909,-3.476535159193958,7.185515946860526,7.185515946860526,8.708959829987236,-6.485805281550427
0.15000000000000002,3.418961572967432,-3.369520899315898,7.145591695095335,7.145591695095335,8.740589372271325,-6.192698446413756
0.25000000000000006,3.262298374009809,-3.1694514210708475,7.081183857753424,7.081183857753424,8.742526046781162,-5.798750548431642
0.35000000000000003,3.024952372293638,-2.8682745992050442,6.987724524054655,6.987724524054655,8.679632330378347,-5.317512645294839
0.45000000000000007,2.7394073617809003,-2.487319816581049,6.869475999450674,6.869475999450674,8.512020207510053,-4.756646682429453
0.5500000000000002,2.4517443787827586,-2.0564976663270333,6.740464988449543,6.740464988449543,8.215185659788862,-4.125480703557669
0.6500000000000001,2.1826631355323656,-1.590367922138302,6.617421257077622,6.617421257077622,7.798226830187575,-3.4626243765634985
0.7500000000000002,1.925361038719072,-1.1007055800702905,6.509325627511071,6.509325627511071,7.299603843330342,-2.8428188843003834
0.8500000000000002,1.6854860474710407,-0.6131696357531328,6.414403550102814,6.414403550102814,6.758368532806389,-2.3465190518071513
0.9500000000000002,1.501588889504579,-0.15519458274406644,6.323631998359583,6.323631998359583,6.198372070189254,-2.0213546117257786
1.0500000000000003,1.4164639276677145,0.27074485927089453,6.224183133806622,6.224183133806622,5.637601127035152,-1.8766907144435288
1.1500000000000004,1.4372885290952866,0.6763251635027734,6.0994400781261575,6.0994400781261575,5.10499786167464,-1.905625993787845
1.2500000000000002,1.5342396100697817,1.060945679910366,5.934994163672369,5.934994163672369,4.641348528461138,-2.1017986308619623
1.3500000000000003,1.6775320926645196,1.4093552545616639,5.730974987553365,5.730974987553365,4.291841225751672,-2.4502840676432207
1.4500000000000004,1.8573562311158278,1.7189391897313873,5.508916696340346,5.508916696340346,4.098310649728191,-2.910822257633582
1.5500000000000003,2.0809581806949082,2.0102240154168864,5.301073429168267,5.301073429168267,4.087052706740995,-3.424565178530202
1.6500000000000004,2.3516575926058185,2.307248280891524,5.132431308511124,5.132431308511124,4.250152920845114,-3.938078715370351
1.7500000000000004,2.667735431118441,2.6188859111694414,5.01041506053961,5.01041506053961,4.540629343141469,-4.418808098364319
1.8500000000000003,3.0196595537330797,2.9398088770822017,4.931582785732802,4.931582785732802,4.889502006228871,-4.851198339857068
1.9500000000000004,3.3866589603156294,3.2555648145007248,4.892187204051659,4.892187204051659,5.2365318913782835,-5.227490532626631
2.0500000000000003,3.739236413568903,3.5548375522653255,4.894225027951646,4.894225027951646,5.549580326690335,-5.54850491740729
2.1500000000000004,4.056094923971776,3.8394285621234623,4.941724840706833,4.941724840706833,5.824906704144676,-5.824906704144676
2.2500000000000004,4.33692940669832,4.1247167898525765,5.035987974272456,5.035987974272456,6.0662008036062485,-6.0662008036062485
2.35,4.593158780358942,4.419930827500081,5.1741653665608895,5.1741653665608895,6.265346425416528,-6.265064991519578
2.45,4.841094673755446,4.723740322813705,5.351540477039376,5.351540477039376,6.396528608617901,-6.393736012682789
2.5500000000000003,5.096754947909804,5.031266014878358,5.561603294598079,5.561603294598079,6.42860633195005,-6.415976686894979
2.6500000000000004,5.37105645978518,5.341232626624148,5.78989485096441,5.78989485096441,6.343055374346136,-6.300813487967654
2.7500000000000004,5.654757541764678,5.643925757958431,6.012162699728685,6.012162699728685,6.142380290970547,-6.028369008355233
2.8500000000000005,5.921886577689572,5.918815660930193,6.201165313010515,6.201165313010515,5.844350568757921,-5.588298794952018
2.95,6.158718757363646,6.158122340680454,6.338523833660383,6.338523833660383,5.472030404253202,-4.981378325093544
3.0500000000000003,6.382941981522178,6.382941981522178,6.42284915649135,6.42284915649135,5.052505442016089,-4.224318579377121
